,Long-form data quality indicators – Housing characteristics (20),Tenure - Non-response rate,Tenure - Imputation rate,Condominium status - Non-response rate,Condominium status - Imputation rate,Number of rooms - Non-response rate,Number of rooms - Imputation rate,Number of bedrooms - Non-response rate,Number of bedrooms - Imputation rate,Period of construction - Non-response rate,Period of construction - Imputation rate,Dwelling condition - Non-response rate,Dwelling condition - Imputation rate,Rent monthly cash - Non-response rate,Rent monthly cash - Imputation rate,Monthly mortgage payments - Non-response rate,Monthly mortgage payments - Imputation rate,Value (owner estimated) - Non-response rate,Value (owner estimated) - Imputation rate,Monthly use or occupancy payment for dwelling - Non-response rate,Monthly use or occupancy payment for dwelling - Imputation rate
i657,Geography name: Laird; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053557011; Alternative geographic code: 3557011; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i658,"Geography name: Macdonald, Meredith and Aberdeen Additional; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053557051; Alternative geographic code: 3557051; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...",,,,,,,,,,,,,,,,,,,,
i659,Geography name: Sault Ste. Marie; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053557061; Alternative geographic code: 3557061; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i660,Geography name: Prince; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053557066; Alternative geographic code: 3557066; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i661,Geography name: Garden River 14; Geographic area type: Indian reserve; Geographic area type abbreviation: IRI; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053557074; Alternative geographic code: 3557074; Province or territory geocode: 35; Data quality flag: 01010; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i662,Geography name: Rankin Location 15D; Geographic area type: Indian reserve; Geographic area type abbreviation: IRI; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053557075; Alternative geographic code: 3557075; Province or territory geocode: 35; Data quality flag: 19999; Data quality note: Incompletely enumerated reserve or settlement (suppressed).,,,,,,,,,,,,,,,,,,,,
i663,Geography name: Thunder Bay; Geographic area type: Census metropolitan area; Geographic area type abbreviation: CMA; Geographic level: Census metropolitan area; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0503595; Alternative geographic code: 595; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i664,Geography name: Neebing; Geographic area type: Municipality; Geographic area type abbreviation: MU; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053558001; Alternative geographic code: 3558001; Province or territory geocode: 35; Data quality flag: 00010; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i665,Geography name: Fort William 52; Geographic area type: Indian reserve; Geographic area type abbreviation: IRI; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053558003; Alternative geographic code: 3558003; Province or territory geocode: 35; Data quality flag: 01010; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i666,Geography name: Thunder Bay; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053558004; Alternative geographic code: 3558004; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i667,Geography name: Oliver Paipoonge; Geographic area type: Municipality; Geographic area type abbreviation: MU; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053558011; Alternative geographic code: 3558011; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i668,Geography name: Gillies; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053558012; Alternative geographic code: 3558012; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i669,Geography name: O'Connor; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053558016; Alternative geographic code: 3558016; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i670,Geography name: Conmee; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053558019; Alternative geographic code: 3558019; Province or territory geocode: 35; Data quality flag: 00010; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i671,Geography name: Shuniah; Geographic area type: Municipality; Geographic area type abbreviation: MU; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053558028; Alternative geographic code: 3558028; Province or territory geocode: 35; Data quality flag: 01010; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i672,Geography name: Kenora; Geographic area type: Census agglomeration; Geographic area type abbreviation: CA; Geographic level: Census agglomeration; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0504598; Alternative geographic code: 598; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i673,Geography name: Kenora; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053560010; Alternative geographic code: 3560010; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,
1,Definitions of the quality indicators  Information on the definitions of the quality indicators presented in this table and indications on how they can be interpreted is available in the 2021 Census Data Quality Guidelines. Information on each question or concept is available in the reference guide for the domain of interest.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"How to cite: Statistics Canada. Table 98-10-0559-01  Long-form data quality indicators for housing characteristics: Canada, provinces and territories, census metropolitan areas, census agglomerations and census subdivisions",,,,,,,,,,,,,,,,,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810055901,,,,,,,,,,,,,,,,,,,,,
